iter	Passed	Remaining
0	5	5007
1	10	5027
2	14	4901
3	19	4736
4	23	4647
5	27	4583
6	32	4557
7	36	4570
8	41	4541
9	46	4599
10	51	4621
11	55	4602
12	60	4602
13	65	4591
14	69	4582
15	74	4578
16	79	4580
17	84	4594
18	89	4604
19	93	4596
20	99	4621
21	103	4612
22	108	4616
23	113	4602
24	118	4603
25	123	4611
26	127	4606
27	132	4600
28	137	4588
29	141	4588
30	146	4590
31	151	4585
32	156	4579
33	161	4596
34	167	4627
35	174	4661
36	179	4673
37	184	4662
38	188	4644
39	192	4626
40	196	4605
41	201	4587
42	205	4567
43	209	4546
44	214	4550
45	218	4540
46	223	4536
47	228	4534
48	233	4540
49	238	4536
50	243	4538
51	248	4525
52	252	4509
53	256	4494
54	260	4484
55	265	4480
56	269	4463
57	274	4462
58	279	4449
59	283	4434
60	286	4417
61	291	4404
62	295	4394
63	299	4381
64	303	4370
65	308	4362
66	312	4351
67	316	4339
68	320	4328
69	324	4317
70	329	4305
71	333	4294
72	337	4290
73	342	4281
74	346	4270
75	350	4262
76	354	4252
77	358	4242
78	363	4232
79	367	4224
80	371	4215
81	376	4213
82	380	4203
83	384	4194
84	388	4184
85	392	4175
86	397	4168
87	401	4158
88	405	4149
89	409	4141
90	413	4132
91	417	4124
92	421	4114
93	426	4106
94	430	4098
95	434	4091
96	438	4082
97	442	4076
98	446	4067
99	451	4059
100	455	4051
101	459	4043
102	463	4035
103	467	4029
104	471	4022
105	476	4014
106	480	4006
107	483	3996
108	488	3991
109	493	3989
110	497	3982
111	501	3976
112	505	3968
113	509	3961
114	513	3954
115	518	3948
116	522	3941
117	526	3934
118	530	3930
119	535	3923
120	539	3916
121	543	3910
122	547	3903
123	551	3896
124	555	3889
125	559	3883
126	564	3877
127	568	3870
128	572	3866
129	576	3860
130	581	3854
131	585	3847
132	589	3841
133	593	3834
134	597	3827
135	601	3821
136	605	3815
137	609	3808
138	613	3801
139	617	3796
140	621	3789
141	626	3782
142	630	3777
143	634	3771
144	638	3765
145	642	3759
146	646	3752
147	650	3746
148	654	3740
149	659	3734
150	663	3728
151	667	3722
152	670	3713
153	674	3703
154	677	3694
155	682	3691
156	686	3687
157	691	3684
158	695	3680
159	700	3677
160	705	3673
161	708	3664
162	713	3664
163	718	3662
164	722	3658
165	726	3650
166	731	3646
167	735	3642
168	740	3639
169	744	3635
170	749	3631
171	753	3627
172	757	3618
173	760	3610
174	763	3600
175	767	3592
176	770	3583
177	773	3574
178	777	3565
179	780	3556
180	784	3548
181	787	3539
182	790	3531
183	794	3522
184	797	3514
185	801	3506
186	804	3497
187	807	3488
188	811	3480
189	814	3471
190	817	3463
191	821	3455
192	824	3447
193	828	3441
194	832	3436
195	836	3430
196	839	3423
197	843	3417
198	847	3410
199	850	3403
200	854	3397
201	858	3390
202	861	3383
203	865	3375
204	869	3370
205	872	3364
206	876	3357
207	879	3350
208	883	3343
209	887	3336
210	892	3338
211	897	3337
212	903	3337
213	907	3333
214	912	3330
215	916	3327
216	921	3323
217	925	3320
218	930	3319
219	935	3317
220	940	3314
221	944	3310
222	948	3303
223	951	3297
224	955	3290
225	958	3283
226	962	3276
227	965	3269
228	969	3262
229	972	3256
230	976	3249
231	979	3243
232	983	3236
233	987	3233
234	992	3231
235	997	3230
236	1002	3228
237	1007	3226
238	1013	3225
239	1017	3223
240	1022	3220
241	1027	3219
242	1032	3217
